prototype_index,Prototype,Number of Species,Number of Atoms,Pearson Symbol,Strukturbericht Designation,AFLOW Prototype,Space Group Symbol,Space Group Number,Notes
314,S,1,8,tI16,,A_tI16_142_f,I41/acdI4_{1}/acd,142,S–III Structure
315,Cl3Ru,2,8,hP8,,A3B_hP8_158_d_a,P3c1P3c1,158,β\beta–RuCl3 Structure
316,C,1,8,mP8,,A_mP8_10_2m2n,P2/mP2/m,10,S–carbon Structure
317,As2BaGe2,3,20,tP20,,A2BC2_tP20_105_f_ac_2e,P42mcP4_{2}mc,105,BaGe2As2 Structure
318,Fe3Th7,2,20,hP20,D102D10_{2},A3B7_hP20_186_c_b2c,P63mcP6_{3}mc,186,Fe3Th7 (D102D10_{2}) Structure
319,Ag3AuTe2,3,24,cI48,,A3BC2_cI48_214_f_a_e,I4132I4_{1}32,214,Petzite (Ag3AuTe2) Structure
320,AgAuTe2,3,8,mP8,,ABC2_mP8_10_ac_eh_mn,P2/mP2/m,10,Muthmannite (AuAgTe2) Structure
321,C7H8,2,120,oP120,,A7B8_oP120_60_7d_8d,PbcnPbcn,60,β\beta–Toluene Structure
322,Si2Sr,2,12,cP12,,A2B_cP12_212_c_a,P4332P4_{3}32,212,SrSi2 Structure
323,C17FeO4Pt,4,184,tP184,,A17BC4D_tP184_89_17p_p_4p_io,P422P422,89,C17FeO4Pt Structure
324,FeS2,2,12,oP12,,AB2_oP12_29_a_2a,Pca21Pca2_{1},29,"Pyrite (FeS2, Low–temperature) Structure"
325,ClH3,2,8,mC16,,AB3_mC16_15_e_cf,C2/cC2/c,15,H3Cl (50 GPa) Structure
326,GeP,2,2,tI4,,AB_tI4_107_a_a,I4mmI4mm,107,"GeP (High–pressure, superconducting) Structure"
327,Ge3Rh5,2,16,oP16,,A3B5_oP16_55_ch_agh,PbamPbam,55,Rh5Ge3 Structure
328,H2S,2,12,oP12,,A2B_oP12_26_abc_ab,Pmc21Pmc2_{1},26,H2S (70 GPa) Structure
329,NiO3Pr,3,10,hR10,,AB3C_hR10_167_b_e_a,Rˉ3cR\bar{3}c,167,PrNiO3 Structure
330,Hg2K,2,6,oI12,,A2B_oI12_74_h_e,ImmaImma,74,KHg2 Structure
331,O2Se,2,24,tP24,C47C47,A2B_tP24_135_gh_h,P42/mbcP4_{2}/mbc,135,"Downeyite (SeO2, C47C47) Structure"
332,B4Th,2,20,tP20,D1eD1_{e},A4B_tP20_127_ehj_g,P4/mbmP4/mbm,127,ThB4 (D1eD1_{e}) Structure
333,H3S,2,16,oI32,,A3B_oI32_23_ij2k_k,I222I222,23,H3S (5 GPa) Structure
334,AuCN,3,3,hP3,,ABC_hP3_183_a_a_a,P6mmP6mm,183,AuCN Structure
335,Mn23Th6,2,29,cF116,D8aD8_{a},A23B6_cF116_225_bd2f_e,Fmˉ3mFm\bar{3}m,225,Th6Mn23 (D8aD8_{a}) Structure
336,Ge7Ir3,2,20,cI40,D8fD8_{f},A7B3_cI40_229_df_e,Imˉ3mIm\bar{3}m,229,Ir3Ge7 (D8fD8_{f}) Structure
337,H2O6][O]4S2Sr[,3,39,hP39,,A10B2C_hP39_172_5c_c_a,P64P6_{4},172,Sr[S2O6][H2O]4 Structure
338,FeSb2,2,6,oP6,,AB2_oP6_34_a_c,Pnn2Pnn2,34,FeSb2 Structure
339,Si3Sr5,2,16,tI32,,A3B5_tI32_108_ac_a2c,I4cmI4cm,108,Sr5Si3 Structure
340,CCs2Fe[N]6Zn,5,64,cP64,,A6B2CD6E_cP64_208_m_ad_b_m_c,P4232P4_{2}32,208,Cs2ZnFe[CN]6 Structure
341,Bi2CuO4,3,28,tP28,,A2BC4_tP28_130_f_c_g,P4/nccP4/ncc,130,CuBi2O4 Structure
342,O5Ta2,2,14,oP14,,A5B2_oP14_49_dehq_ab,PccmPccm,49,β\beta–Ta2O5 Structure
343,Al2Gd3,2,20,tP20,,A2B3_tP20_102_2c_b2c,P42nmP4_{2}nm,102,Gd3Al2 Structure
344,AlU,2,10,oI20,D1bD1_{b},A4B_oI20_74_beh_e,ImmaImma,74,Al4U (D1bD1_{b}) Structure
345,Al[O4]P,3,72,hP72,,AB4C_hP72_168_2d_8d_2d,P6P6,168,Al[PO4] Structure
346,Al3Ni,2,16,oP16,D020D0_{20},A3B_oP16_62_cd_c,PnmaPnma,62,ϵ\epsilon–NiAl3 (D020D0_{20}) Structure
347,BrCuSe3,3,20,oP20,,ABC3_oP20_30_2a_c_3c,Pnc2Pnc2,30,CuBrSe3 Structure
348,Mo8P5,2,13,mP13,,A8B5_mP13_6_a7b_3a2b,PmPm,6,Mo8P5 (High–temperature) Structure
349,Cl6K2Pt,3,9,cF36,J11J1_{1},A6B2C_cF36_225_e_c_a,Fmˉ3mFm\bar{3}m,225,K2PtCl6 (J11J1_{1}) Structure
350,F14Fe3Na5,3,44,tP44,,A14B3C5_tP44_94_c3g_ad_bg,P42212P4_{2}2_{1}2,94,Na5Fe3F14 (High–temperature) Structure
351,Al4C3,2,7,hR7,D71D7_{1},A4B3_hR7_166_2c_ac,Rˉ3mR\bar{3}m,166,Al4C3 (D71D7_{1}) Structure
352,ClH3,2,8,mC16,,AB3_mC16_9_a_3a,CcCc,9,H3Cl (20 GPa) Structure
353,N4Si3,2,14,hP14,,A4B3_hP14_173_bc_c,P63P6_{3},173,β\beta–Si3N4 Structure
354,As4CaFe4Rb,4,10,tP10,,A4BC4D_tP10_123_gh_a_i_d,P4/mmmP4/mmm,123,CaRbFe4As4 (Superconducting) Structure
355,FeNi,2,4,mP4,,AB_mP4_6_2b_2a,PmPm,6,FeNi Structure
356,F2Mn,2,12,tP12,,A2B_tP12_111_2n_adf,Pˉ42mP\bar{4}2m,111,MnF2 Structure
357,Ag2Se,2,12,oP12,,A2B_oP12_17_abe_e,P2221P222_{1},17,α\alpha–Naumannite (Ag2Se) Structure
358,CuI,2,4,hP4,,AB_hP4_156_ab_ab,P3m1P3m1,156,β\beta–CuI Structure
359,Cs3P7,2,40,tP40,,A3B7_tP40_76_3a_7a,P41P4_{1},76,Cs3P7 Structure
360,HgI6Tl4,3,22,tP22,,AB6C4_tP22_104_a_2ac_c,P4ncP4nc,104,Tl4HgI6 Structure
361,Al2S3,2,30,hP30,,A2B3_hP30_169_2a_3a,P61P6_{1},169,α\alpha–Al2S3 Structure
362,NbTe4,2,10,tP10,,AB4_tP10_103_a_d,P4ccP4cc,103,NbTe4 Structure
363,BaO9Si4,3,28,hP28,S32S3_{2},AB9C4_hP28_188_e_kl_ak,Pˉ6c2P\bar{6}c2,188,BaSi4O9 (S32S3_{2}) Structure
364,Al4Cu9,2,52,cP52,D83D8_{3},A4B9_cP52_215_ei_3efgi,Pˉ43mP\bar{4}3m,215,"γ\gamma–brass (Cu9Al4, D83D8_{3}) Structure"
365,MoS2,2,12,hP12,,AB2_hP12_143_cd_ab2d,P3P3,143,MoS2 Structure
366,Cu15Si4,2,38,cI76,D86D8_{6},A15B4_cI76_220_ae_c,Iˉ43dI\bar{4}3d,220,Cu15Si4 (D86D8_{6}) Structure
367,H]3NaOZn[,4,64,tP64,,A3BC3D_tP64_106_3c_c_3c_c,P42bcP4_{2}bc,106,NaZn[OH]3 Structure
368,Fe12P7Zr2,3,21,hP21,,A12B7C2_hP21_174_2j2k_ajk_cf,Pˉ6P\bar{6},174,Fe12Zr2P7 Structure
369,Pb4Pt,2,10,tP10,,A4B_tP10_125_m_a,P4/nbmP4/nbm,125,PtPb4 Structure
370,Pd17Se15,2,64,cP64,,A17B15_cP64_207_acfk_eij,P432P432,207,Pd17Se15 Structure
371,NRe3,2,4,hP4,,AB3_hP4_187_e_fh,Pˉ6m2P\bar{6}m2,187,Re3N Structure
372,NbPS,3,6,oI12,,ABC_oI12_71_h_j_g,ImmmImmm,71,NbPS Structure
373,BaCr2O12Ru4,4,76,tP76,,AB2C12D4_tP76_75_2a2b_2d_12d_4d,P4P4,75,BaCr2Ru4O12 Structure
374,Al2BiS4,3,28,tP28,,A2BC4_tP28_126_cd_e_k,P4/nncP4/nnc,126,BiAl2S4 Structure
375,Ga9Rh2,2,22,mP22,,A9B2_mP22_7_9a_2a,PcPc,7,Rh2Ga9 Structure
376,B8Nb7Ru6,3,21,hP21,,A8B7C6_hP21_175_ck_aj_k,P6/mP6/m,175,Nb7Ru6B8 Structure
377,SeO2,2,12,oP12,,A2B_oP12_26_abc_ab,Pmc21Pmc2_{1},26,β\beta–SeO2 Structure
378,BiGaO3,3,20,oP20,,ABC3_oP20_54_e_d_cf,PccaPcca,54,BiGaO3 Structure
379,CCa3[F3[H2NaO3]2O],5,48,hP48,,A2B3C3DE7_hP48_145_2a_3a_3a_a_7a,P32P3_{2},145,Sheldrickite (NaCa3[CO3]2F3[H2O]) Structure
380,ClNaO3,3,20,cP20,G3G3,ABC3_cP20_198_a_a_b,P213P2_{1}3,198,"Sodium Chlorate (NaClO3, G3G3) Structure"
381,As2Ge,2,24,oP24,,A2B_oP24_55_2g2h_gh,PbamPbam,55,GeAs2 Structure
382,ClH3,2,16,oP16,,AB3_oP16_19_a_3a,P212121P2_{1}2_{1}2_{1},19,H3Cl (100 GPa) Structure
383,H2S,2,12,mP12,,A2B_mP12_13_2g_ef,P2/cP2/c,13,H2S (15 GPa) Structure
384,Ce3N11Si6,3,40,tP40,,A3B11C6_tP40_100_ac_bc2d_cd,P4bmP4bm,100,Ce3Si6N11 Structure
385,MgO3Si,3,10,oC20,,AB3C_oC20_63_a_cf_c,CmcmCmcm,63,Post–perovskite (MgSiO3) Structure
386,Al6Ca4O16S,4,108,oP108,,A6B4C16D_oP108_27_abcd4e_4e_16e_e,Pcc2Pcc2,27,Ca4Al6O16S Structure
387,AgF6U,3,16,tP16,,AB6C_tP16_132_d_io_a,P42/mcmP4_{2}/mcm,132,AgUF6 Structure
388,La2O3,2,5,hP5,D52D5_{2},A2B3_hP5_164_d_ad,Pˉ3m1P\bar{3}m1,164,La2O3 (D52D5_{2}) Structure
389,S,1,9,hP9,,A_hP9_154_bc,P3221P3_{2}21,154,S–II Structure
390,CoNb4Si,3,12,tP12,,AB4C_tP12_124_a_m_c,P4/mccP4/mcc,124,Nb4CoSi Structure
391,O2Si,2,9,hP9,,A2B_hP9_181_j_c,P6422P6_{4}22,181,β\beta–SiO2 Structure
392,P2Zn3,2,40,tP40,D59D5_{9},A2B3_tP40_137_cdf_3g,P42/nmcP4_{2}/nmc,137,Zn3P2 (D59D5_{9}) Structure
393,OTi3,2,24,hP24,,AB3_hP24_149_acgi_3l,P312P312,149,Ti3O (Room–temperature) Structure
394,H2O6][O]4S2Sr[,3,39,hP39,,A10B2C_hP39_171_5c_c_a,P62P6_{2},171,Sr[S2O6][H2O]4 Structure
395,H2S,2,48,tP48,,A2B_tP48_77_8d_4d,P42P4_{2},77,H2S III Structure
396,AlLiN,3,48,cI96,E9dE9_{d},AB3C2_cI96_206_c_e_ad,Iaˉ3Ia\bar{3},206,AlLi3N2 (E9dE9_{d}) Structure
397,PdSn4,2,10,oC20,,AB4_oC20_68_a_i,CccaCcca,68,PdSn4 Structure
398,ClH3,2,16,mP16,,AB3_mP16_10_mn_3m3n,P2/mP2/m,10,H3Cl (400 GPa) Structure
399,Mg2Zn11,2,39,cP39,D8cD8_{c},A2B11_cP39_200_f_aghij,Pmˉ3Pm\bar{3},200,Mg2Zn11 (D8cD8_{c}) Structure
400,Cu2Rb2Se4Ti,4,18,tP18,,A2B2C4D_tP18_132_e_i_o_d,P42/mcmP4_{2}/mcm,132,Rb2TiCu2S4 Structure
401,CClCo(Na3O3)2,5,52,cF208,,A2BCD3E6_cF208_203_e_c_d_f_g,Fdˉ3Fd\bar{3},203,Pyrochlore (Na3Co(CO3)2Cl) Structure
402,BN,2,2,oF8,,AB_oF8_42_a_a,Fmm2Fmm2,42,"BN (High–pressure, high–temperature) Structure"
403,Ga2MnSb2,3,10,oI20,,A2BC2_oI20_45_c_b_c,Iba2Iba2,45,MnGa2Sb2 Structure
404,Cl5[CrCuH3]6N,4,104,cF416,,A5BCD6_cF416_228_eg_c_b_h,Fdˉ3cFd\bar{3}c,228,CuCrCl5[NH3]6 Structure
405,CaO4S,3,12,oC24,H01H0_{1},AB4C_oC24_63_c_fg_c,CmcmCmcm,63,"Anhydrite (CaSO4, H01H0_{1}) Structure"
406,HIINW2,2,9,hP9,,AB2_hP9_164_bd_c2d,Pˉ3m1P\bar{3}m1,164,deltaHII–NW2 Structure
407,Ge4Ir,2,15,hP15,,A4B_hP15_144_4a_a,P31P3_{1},144,IrGe4 Structure
408,LaPtSi,3,6,tI12,,ABC_tI12_109_a_a_a,I41mdI4_{1}md,109,LaPtSi Structure
409,H2Na4O22[O]4Si8Ti2,4,40,tP40,,A4B2C13D_tP40_90_g_d_cef2g_c,P4212P42_{1}2,90,Na4Ti2Si8O22[H2O]4 Structure
410,Bi5Nb3O15,3,46,oP46,,A5B3C15_oP46_30_a2c_bc_a7c,Pnc2Pnc2,30,Bi5Nb3O15 Structure
411,B6H6K,3,26,cF104,,A6B6C_cF104_202_h_h_c,Fmˉ3Fm\bar{3},202,KB6H6 Structure
412,H2S,2,6,aP6,,A2B_aP6_2_aei_i,Pˉ1P\bar{1},2,H2S (90 GPa) Structure
413,BCTh,3,24,tP24,,ABC_tP24_91_d_d_d,P4122P4_{1}22,91,ThBC Structure
414,F6KP,3,26,cF104,,A24BC_cF104_209_j_a_b,F432F432,209,F6KP Structure
415,BaCo4O7Yb,4,26,hP26,,AB4C7D_hP26_159_b_ac_a2c_b,P31cP31c,159,YbBaCo4O7 Structure
416,C2Cr3,2,20,oP20,D510D5_{10},A2B3_oP20_62_2c_3c,PnmaPnma,62,"Tongbaite (Cr3C2, D510D5_{10}) Structure"
417,Cl2Pd,2,6,mP6,,A2B_mP6_10_mn_bg,P2/mP2/m,10,δ\delta–PdCl2 Structure
418,SrH2,2,12,oP12,C29C29,A2B_oP12_62_2c_c,PnmaPnma,62,SrH2 (C29C29) Structure
419,Be,2,48,oP48,,AB_oP48_61_3c_3c,PbcaPbca,61,Benzene Structure
420,H3P,2,16,cP16,,A3B_cP16_208_j_b,P4232P4_{2}32,208,PH3 Structure
421,B4Ta3,2,7,oI14,D7bD7_{b},A4B3_oI14_71_gh_cg,ImmmImmm,71,Ta3B4 (D7bD7_{b}) Structure
422,NbTe4,2,10,tP10,,AB4_tP10_124_a_m,P4/mccP4/mcc,124,NbTe4 Structure
423,CdK2Pb,3,8,oC16,,AB2C_oC16_40_a_2b_b,Ama2Ama2,40,K2CdPb Structure
424,Al2Se4Sr,3,14,oC28,,A2B4C_oC28_66_l_kl_a,CccmCccm,66,SrAl2Se4 Structure
425,Bi3Sr2,2,20,oP20,,A3B2_oP20_52_de_cd,PnnaPnna,52,Sr2Bi3 Structure
426,MgNiSn,3,32,tP32,,A7B7C2_tP32_101_bde_ade_d,P42cmP4_{2}cm,101,γ\gamma–MgNiSn Structure
427,O2Si,2,36,cI72,,A2B_cI72_211_hi_i,I432I432,211,SiO2 Structure
428,BKO2,3,24,hR24,F513F5_{13},ABC2_hR24_167_e_e_2e,Rˉ3cR\bar{3}c,167,KBO2 (F513F5_{13}) Structure
429,H2S,2,12,oC24,,A2B_oC24_64_2f_f,CmcaCmca,64,H2S (170 GPa) Structure
430,C,1,16,oP16,,A_oP16_55_2g2h,PbamPbam,55,R–carbon Structure
431,Fe2KS3,3,12,oC24,,A2BC3_oC24_63_e_c_cg,CmcmCmcm,63,Rasvumite (KFe2S3) Structure
432,AlF7MgNa2,4,22,oI44,,AB7CD2_oI44_24_a_b3d_c_ac,I212121I2_{1}2_{1}2_{1},24,Weberite (Na2MgAlF7) Structure
433,HTa2,2,3,oC6,,AB2_oC6_21_a_k,C222C222,21,Ta2H Structure
434,Al8Cr5,2,26,hR26,D810D8_{10},A8B5_hR26_160_a3bc_a3b,R3mR3m,160,Cr5Al8 (D810D8_{10}) Structure
435,Co5Ge7,2,12,tI24,,A5B7_tI24_107_ac_abd,I4mmI4mm,107,Co5Ge7 Structure
436,Al2O3,2,40,oP40,,A2B3_oP40_33_4a_6a,Pna21Pna2_{1},33,κ\kappa–alumina (Al2O3) Structure
437,Cu3P,2,24,hP24,D021D0_{21},A3B_hP24_165_bdg_f,Pˉ3c1P\bar{3}c1,165,Cu3P (D021D0_{21}) Structure
438,Cl3KNi,3,30,hP30,,A3BC_hP30_185_cd_c_ab,P63cmP6_{3}cm,185,KNiCl3 (Room–temperature) Structure
439,H]6OTe[,3,152,cF608,,A12B6C_cF608_210_4h_2h_e,F4132F4_{1}32,210,Te[OH]6 Structure
440,La43Mg5Ni17,3,130,oC260,,A43B5C17_oC260_63_c8fg6h_cfg_ce3f2h,CmcmCmcm,63,La43Ni17Mg5 Structure
441,NbO2,2,24,tI48,,AB2_tI48_80_2b_4b,I41I4_{1},80,β\beta–NbO2 Structure
442,Ag[CKO3],4,24,oI48,,ABCD3_oI48_73_d_e_e_ef,IbcaIbca,73,KAg[CO3] Structure
443,Cu2F8GdNa,4,12,tI24,,A2B8CD_tI24_97_d_k_a_b,I422I422,97,NaGdCu2F8 Structure
444,Cl6K2Sn,3,18,tP18,,A6B2C_tP18_128_eh_d_a,P4/mncP4/mnc,128,K2SnCl6 (Low–temperature) Structure
445,F6Li2Mo,3,18,tP18,,A6B2C_tP18_94_eg_c_a,P42212P4_{2}2_{1}2,94,Li2MoF6 Structure
446,Al6Mn,2,14,oC28,D2hD2_{h},A6B_oC28_63_efg_c,CmcmCmcm,63,MnAl6 (D2hD2_{h}) Structure
447,HgI2,2,12,tP12,,AB2_tP12_115_j_egi,Pˉ4m2P\bar{4}m2,115,HgI2 Structure
448,FeSe,2,4,oC8,,AB_oC8_67_a_g,CmmaCmma,67,α\alpha–FeSe Structure
449,B7ClMg3O13,4,48,cF192,,A7BC3D13_cF192_219_de_b_c_ah,Fˉ43cF\bar{4}3c,219,Boracite (Mg3B7ClO13) Structure
450,P5Tl,2,24,oP24,,A5B_oP24_26_3a3b2c_ab,Pmc21Pmc2_{1},26,TlP5 Structure
451,P2Rh3,2,5,tP5,,A2B3_tP5_115_g_ag,Pˉ4m2P\bar{4}m2,115,Rh3P2 Structure
452,H6O6Te,2,56,cF224,,A6B_cF224_228_h_c,Fdˉ3cFd\bar{3}c,228,TeO6H6 Structure
453,I3Th,2,32,oC64,,A3B_oC64_66_kl2m_bdl,CccmCccm,66,β\beta–ThI3 Structure
454,Ag3[O4]P,3,16,cP16,H21H2_{1},A3B4C_cP16_218_c_e_a,Pˉ43nP\bar{4}3n,218,Ag3[PO4] Structure
455,CuHoP2,3,8,oC16,,ABC2_oC16_67_b_g_ag,CmmaCmma,67,HoCuP2 Structure
456,Cl2Hg2,2,4,tI8,D31D3_{1},AB_tI8_139_e_e,I4/mmmI4/mmm,139,"Calomel (Hg2Cl2, D31D3_{1}) Structure"
457,N4Si3,2,28,hP28,,A4B3_hP28_159_ab2c_2c,P31cP31c,159,Nierite (α\alpha–Si3N4) Structure
458,Al9FeMg3Si5,4,18,hP18,,A9BC3D5_hP18_189_fi_a_g_bh,Pˉ62mP\bar{6}2m,189,π\pi–FeMg3Al9Si5 Structure
459,CeTe3,2,8,oC16,,AB3_oC16_40_b_3b,Ama2Ama2,40,CeTe3 Structure
460,Al4H]OO13[Ta3,3,21,hP21,,A4B14C3_hP21_143_bd_ac4d_d,P3P3,143,Simpsonite (Ta3Al4O13[OH]) Structure
461,Si3W5,2,16,tI32,D8mD8_{m},A3B5_tI32_140_ah_bk,I4/mcmI4/mcm,140,W5Si3 (D8mD8_{m}) Structure
462,BrCuSe3,3,20,oP20,,ABC3_oP20_53_e_g_hi,PmnaPmna,53,CuBrSe3 Structure
463,Cl2Pd,2,6,oP6,C50C50,A2B_oP6_58_g_a,PnnmPnnm,58,α\alpha–PdCl2 (C50C50) Structure
464,Ca2MgO7Si2,4,24,tP24,S53S5_{3},A2BC7D2_tP24_113_e_a_cef_e,Pˉ421mP\bar{4}2_{1}m,113,"Akermanite (Ca2MgSi2O7, S53S5_{3}) Structure"
465,Si2Th,2,6,tI12,CcC_{c},A2B_tI12_141_e_a,I41/amdI4_{1}/amd,141,α\alpha–ThSi2 (CcC_{c}) Structure
466,Al[O4]P,3,72,hP72,,AB4C_hP72_184_d_4d_d,P6ccP6cc,184,Al[PO4] (Framework type AFI) Structure
467,C,1,8,mC16,,A_mC16_12_4i,C2/mC2/m,12,M–carbon Structure
468,O2Zr,2,6,tP6,,A2B_tP6_137_d_a,P42/nmcP4_{2}/nmc,137,ZrO2 (High–temperature) Structure
469,Cl3U,2,8,hP8,,A3B_hP8_176_h_c,P63/mP6_{3}/m,176,UCl3 Structure
470,Ge5Sm3,2,16,hP16,,A5B3_hP16_190_bdh_g,Pˉ62cP\bar{6}2c,190,α\alpha–Sm3Ge5 (High–temperature) Structure
471,Al5Co2,2,28,hP28,D811D8_{11},A5B2_hP28_194_ahk_ch,P63/mmcP6_{3}/mmc,194,Co2Al5 (D811D8_{11}) Structure
472,LiSn,2,6,mP6,,AB_mP6_10_en_am,P2/mP2/m,10,LiSn Structure
473,Rh2S3,2,20,oP20,,A2B3_oP20_60_d_cd,PbcnPbcn,60,Rh2S3 Structure
474,GaSb,2,2,tI4,,AB_tI4_119_c_a,Iˉ4m2I\bar{4}m2,119,GaSb Structure
475,C7H8,2,120,mP120,,A7B8_mP120_14_14e_16e,P21/cP2_{1}/c,14,α\alpha–Toluene Structure
476,MoO8V2,3,11,oC22,,AB8C2_oC22_35_a_ab3e_e,Cmm2Cmm2,35,V2MoO8 Structure
477,Al8FeMg3Si6,4,18,hP18,E9bE9_{b},A8BC3D6_hP18_189_bfh_a_g_i,Pˉ62mP\bar{6}2m,189,π\pi–FeMg3Al8Si6 (E9bE9_{b}) Structure
478,Be2O4Si,3,42,hR42,S13S1_{3},A2B4C_hR42_148_2f_4f_f,Rˉ3R\bar{3},148,"Phenakite (Be2SiO4, S13S1_{3}) Structure"
479,"Cu8(Fe,S12Sn2Zn)3",5,25,oI50,,A8B2C12D2E_oI50_23_bcfk_i_3k_j_a,I222I222,23,"Stannoidite (Cu8(Fe,Zn)3Sn2S12) Structure"
480,BBe[H4]2,3,88,tI176,,A2BC8_tI176_110_2b_b_8b,I41cdI4_{1}cd,110,Be[BH4]2 Structure
481,BaCu4[O4]4O][PV,5,54,tP54,,AB4C17D4E_tP54_90_a_g_c4g_g_c,P4212P42_{1}2,90,BaCu4[VO][PO4]4 Structure
482,C2LaRh,3,16,tP16,,A2BC_tP16_76_2a_a_a,P41P4_{1},76,LaRhC2 Structure
483,FeNaS2,3,8,oI16,,ABC2_oI16_23_ab_i_k,I222I222,23,NaFeS2 Structure
484,FeS,2,24,hP24,,AB_hP24_190_i_afh,Pˉ62cP\bar{6}2c,190,Troilite (FeS) Structure
485,H2S,2,12,mP12,,A2B_mP12_7_4a_2a,PcPc,7,H2S IV Structure
486,Pd4Se,2,10,tP10,,A4B_tP10_114_e_a,Pˉ421cP\bar{4}2_{1}c,114,Pd4Se Structure
487,TeZn,2,6,hP6,,AB_hP6_144_a_a,P31P3_{1},144,ZnTe (High–pressure) Structure
488,AsCoS,3,12,oP12,,ABC_oP12_29_a_a_a,Pca21Pca2_{1},29,Cobaltite (CoAsS) Structure
489,GeSe2,2,12,tP12,,AB2_tP12_81_adg_2h,Pˉ4P\bar{4},81,GeSe2 (High–pressure) Structure
490,B12H2H12[MgO]12,4,122,cF488,,A12B36CD12_cF488_210_h_3h_a_fg,F4132F4_{1}32,210,MgB12H12[H2O]12 Structure
491,FeAs,2,8,oP8,B14B14,AB_oP8_62_c_c,PnmaPnma,62,"Westerveldite (FeAs, B14B14) Structure"
492,O2Zr,2,12,oP12,,A2B_oP12_29_2a_a,Pca21Pca2_{1},29,ZrO2 Structure
493,CMg2(Na6O3)4O4)(S,5,58,cF232,,A4B2C6D16E_cF232_203_e_d_f_eg_a,Fdˉ3Fd\bar{3},203,Tychite (Na6Mg2(SO4)(CO3)4) Structure
494,MoO3,2,16,oP16,D08D0_{8},AB3_oP16_62_c_3c,PnmaPnma,62,"Molybdite (MoO3, D08D0_{8}) Structure"
495,H3S,2,4,hR4,,A3B_hR4_160_b_a,R3mR3m,160,H3S (130 GPa) Structure
496,Sc,1,6,hP6,,A_hP6_178_a,P6122P6_{1}22,178,Sc–V (High–pressure) Structure
497,NV,2,8,tP8,,AB_tP8_111_n_n,Pˉ42mP\bar{4}2m,111,VN (Low–temperature) Structure
498,ISe8Ta2,3,22,tI44,,AB8C2_tI44_97_e_2k_cd,I422I422,97,Ta2Se8I Structure
499,BPS4,3,6,oI12,,ABC4_oI12_23_a_b_k,I222I222,23,BPS4 Structure
500,Br2Sr,2,30,tP30,,A2B_tP30_85_ab2g_cg,P4/nP4/n,85,SrBr2 Structure
