,id,wyckoff_sites,lattice_params,basis_params,lattice_params_value,basis_params_value,pearson_symbol,space_group,prototype
375,mP22-Ga9Rh2-7,"['aaaaaaaaa', 'aa']","['a', 'b/a', 'c/a', 'beta']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10', 'x11', 'y11', 'z11']","[6.4165085102, 0.999298672153, 1.36910105356, 93.39]","[0.4944, 0.2369, 0.0135, 0.2965, 0.2623, 0.5568, 0.4955, 0.4453, 0.2912, 0.2817, 0.0557, 0.2805, 0.8067, 0.5491, 0.0506, 0.0, 0.0309, 0.0, 0.6774, 0.1539, 0.7442, 0.096, 0.6343, 0.3258, 0.8638, 0.2389, 0.2526, 0.6359, 0.1217, 0.4513, 0.156, 0.3761, 0.11377]",mP22,7,Ga9Rh2
376,hP21-B8Nb7Ru6-175,"['ck', 'aj', 'k']","['a', 'c/a']","['x3', 'y3', 'x4', 'y4', 'x5', 'y5']","[9.5057625379, 0.329093950194]","[0.36335, 0.08627, 0.0661, 0.221, 0.15405, 0.51373]",hP21,175,B8Nb7Ru6
377,oP12-SeO2-26,"['abc', 'ab']","['a', 'b/a', 'c/a']","['y1', 'z1', 'y2', 'z2', 'y3', 'z3', 'y4', 'z4', 'x5', 'y5', 'z5']","[5.0725824349, 0.881353258932, 1.48474034935]","[0.12, 0.0, 0.2484, 0.461, 0.246, 0.289, 0.3781, 0.0862, 0.253, 0.652, 0.12]",oP12,26,SeO2
378,oP20-BiGaO3-54,"['e', 'd', 'cf']","['a', 'b/a', 'c/a']","['y1', 'z2', 'z3', 'x4', 'y4', 'z4']","[5.3467489374, 0.956627452436, 1.81710213776]","[0.8667, 0.6417, 0.8902, 0.4055, 0.2686, 0.5503]",oP20,54,BiGaO3
379,hP48-CCa3[F3[H2NaO3]2O]-145,"['aa', 'aaa', 'aaa', 'a', 'aaaaaaa']","['a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4', 'x5', 'y5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8', 'x9', 'y9', 'z9', 'x10', 'y10', 'z10', 'x11', 'y11', 'z11', 'x12', 'y12', 'z12', 'x13', 'y13', 'z13', 'x14', 'y14', 'z14', 'x15', 'y15', 'z15', 'x16', 'y16', 'z16']","[6.7260126433, 2.23669342849]","[0.567, 0.317, 0.168, 0.432, 0.752, 0.169, 0.6161, -0.0009, 0.0, -0.0011, 0.6284, 0.0045, 0.3706, 0.371, -0.0043, -0.003, 0.266, 0.01, 0.271, 0.002, -0.005, 0.73, 0.734, -0.02, 0.001, 0.297, 0.165, 0.664, 0.348, 0.09, 0.668, 0.333, 0.238, 0.353, 0.273, 0.167, 0.321, 0.654, -0.092, 0.336, 0.666, 0.761, 0.646, -0.079, 0.165, 0.203, 0.202, 0.831]",hP48,145,CCa3[F3[H2NaO3]2O]
380,cP20-ClNaO3-198,"['a', 'a', 'b']",['a'],"['x1', 'x2', 'x3', 'y3', 'z3']",[6.57],"[0.417, 0.064, 0.303, 0.592, 0.5]",cP20,198,ClNaO3
381,oP24-As2Ge-55,"['gghh', 'gh']","['a', 'b/a', 'c/a']","['x1', 'y1', 'x2', 'y2', 'x3', 'y3', 'x4', 'y4', 'x5', 'y5', 'x6', 'y6']","[10.1600191136, 1.45275590551, 0.366929133855]","[0.0628, 0.4022, 0.1014, 0.1118, 0.2024, 0.2667, 0.226, 0.0384, 0.3532, 0.2953, 0.4192, 0.1378]",oP24,55,As2Ge
382,oP16-ClH3-19,"['a', 'aaa']","['a', 'b/a', 'c/a']","['x1', 'y1', 'z1', 'x2', 'y2', 'z2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4']","[5.668, 0.758997882851, 0.528757939308]","[0.584, 0.123, 0.027, 0.31, 0.159, 0.417, 0.257, 0.073, 0.603, 0.983, 0.124, 0.227]",oP16,19,ClH3
383,mP12-H2S-13,"['gg', 'ef']","['a', 'b/a', 'c/a', 'beta']","['y1', 'y2', 'x3', 'y3', 'z3', 'x4', 'y4', 'z4']","[5.6255, 0.61198115723, 1.23780997245, 127.44]","[0.1808, -0.004, 0.155, 0.346, 0.225, 0.345, 0.273, 0.573]",mP12,13,H2S
384,tP40-Ce3N11Si6-100,"['ac', 'bcdd', 'cd']","['a', 'c/a']","['z1', 'z2', 'x3', 'z3', 'x4', 'z4', 'x5', 'z5', 'x6', 'y6', 'z6', 'x7', 'y7', 'z7', 'x8', 'y8', 'z8']","[10.1311200179, 0.47843253381]","[0.0, 0.0672, 0.18111, 0.0154, 0.6536, 0.6912, 0.6174, 0.0432, 0.5814, 0.678, 0.6402, 0.7288, 0.574, 0.1742, 0.7098, 0.5782, 0.5334]",tP40,100,Ce3N11Si6
385,oC20-MgO3Si-63,"['a', 'cf', 'c']","['a', 'b/a', 'c/a']","['y2', 'y3', 'y4', 'z4']","[2.456, 3.27442996743, 2.48086319218]","[0.077, 0.747, 0.631, -0.064]",oC20,63,MgO3Si
